Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Графины и декантеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;25;0,000000209;
февраль 2022;28;0,000000237;
март 2022;26;0,000000203;
апрель 2022;8;0,000000066;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;103;0,000001025;
сентябрь 2023;69;0,000000641;
октябрь 2023;187;0,000001567;
ноябрь 2023;93;0,000000792;
декабрь 2023;71;0,000000594;
январь 2024;55;0,000000456;
февраль 2024;75;0,000000667;
март 2024;51;0,000000442;
апрель 2024;58;0,000000534;
май 2024;42;0,000000394;
июнь 2024;39;0,000000417;
июль 2024;27;0,000000290;
август 2024;94;0,000001005;
сентябрь 2024;32;0,000000322;
октябрь 2024;31;0,000000276;
ноябрь 2024;41;0,000000352;
декабрь 2024;62;0,000000516;
январь 2025;49;0,000000412;
февраль 2025;41;0,000000359;
март 2025;34;0,000000283;
апрель 2025;61;0,000000535;
май 2025;47;0,000000440;
июнь 2025;39;0,000000369;
