Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для металлической кровли», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;6;0,000000071;
апрель 2018;12;0,000000158;
май 2018;16;0,000000212;
июнь 2018;10;0,000000144;
июль 2018;19;0,000000271;
август 2018;28;0,000000396;
сентябрь 2018;39;0,000000492;
октябрь 2018;16;0,000000173;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;13;0,000000157;
май 2019;11;0,000000139;
июнь 2019;20;0,000000275;
июль 2019;28;0,000000380;
август 2019;10;0,000000137;
сентябрь 2019;7;0,000000088;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;12;0,000000134;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;15;0,000000129;
май 2023;0;0;
июнь 2023;9;0,000000087;
июль 2023;36;0,000000356;
август 2023;22;0,000000219;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;7;0,000000070;
октябрь 2024;0;0;
ноябрь 2024;5;0,000000043;
декабрь 2024;0;0;
январь 2025;0;0;
февраль 2025;0;0;
март 2025;0;0;
апрель 2025;0;0;
май 2025;0;0;
июнь 2025;0;0;
